City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,fomento,22.1039,-79.7217,24.59,96,43,1.01,CU,1726630007
205,nova sintra,14.8667,-24.7167,26.49,76,22,2.8,CV,1726630008
206,brisas de zicatela,15.8369,-97.0419,26.17,90,100,3.38,MX,1726630009
207,slave lake,55.2834,-114.769,12.99,76,20,2.06,CA,1726629857
208,broome,42.2506,-75.833,16.46,94,100,0.98,US,1726630012
209,namasuba,0.6894,32.4214,15.08,98,18,0.58,UG,1726630013
210,goya,-29.14,-59.2626,18.7,59,0,3.06,AR,1726630014
211,thetford-mines,46.0937,-71.3054,15.63,95,3,1.51,CA,1726630016
212,utmanzai,34.188,71.7629,26.51,49,0,1.64,PK,1726630017
213,san antonio de pale,-1.4014,5.6325,24.08,86,100,6.45,GQ,1726630019
214,taloqan,36.7361,69.5345,21.43,30,0,1.02,AF,1726630020
215,kodiak,57.79,-152.4072,11.73,76,75,4.63,US,1726630021
216,godhra,22.75,73.6333,24.79,84,100,2.38,IN,1726630022
217,ladario,-19.0047,-57.6017,25.27,48,7,0.27,BR,1726630023
218,alofi,-19.0595,-169.9187,21.94,94,100,4.12,NU,1726630024
219,puerto aysen,-45.4,-72.7,4.53,100,100,0.85,CL,1726630026
220,igrim,63.1906,64.4162,12.34,87,94,2.07,RU,1726630027
221,crane,31.3974,-102.3501,27.42,56,0,9.34,US,1726630028
222,malango,-2.9627,119.9001,29.07,50,100,1.96,ID,1726630029
223,callao,-12.0667,-77.15,16.16,82,100,2.57,PE,1726629281
224,rantauprapat,2.1,99.8333,28.68,67,100,0.48,ID,1726630033
225,mount horeb,43.0086,-89.7385,18.33,75,2,0.45,US,1726630034
226,soe,-9.8607,124.284,28.19,48,100,2.35,ID,1726630035
227,punta arenas,-53.15,-70.9167,0.06,80,0,8.75,CL,1726629823
228,zlocieniec,53.5329,16.0113,13.27,93,33,2.73,PL,1726630037
229,waingapu,-9.6567,120.2641,29.49,61,89,4.89,ID,1726630038
230,wiwili,13.6268,-85.8254,24.32,93,100,0.7,NI,1726630039
231,prince rupert,54.3161,-130.3201,12.83,92,75,4.12,CA,1726630042
232,alice springs,-23.7,133.8833,25.15,15,0,1.71,AU,1726630043
233,xilin hot,43.9667,116.0333,19.78,48,0,2.1,CN,1726630044
234,praia da vitoria,38.7333,-27.0667,22.14,78,75,4.28,PT,1726629852
235,inhambane,-23.865,35.3833,22.47,91,8,3.9,MZ,1726630046
236,fort st. john,56.2499,-120.8529,12.94,76,75,3.09,CA,1726630048
237,amga,60.8953,131.9608,3.82,95,100,2.88,RU,1726630049
238,kodinar,20.7903,70.7031,26.09,75,4,2.67,IN,1726630050
239,pyin oo lwin,22.0333,96.4667,24.58,80,96,0.5,MM,1726630051
240,labrador city,52.9463,-66.9114,12.88,77,100,4.92,CA,1726630052
241,sinabang,2.4803,96.3801,26.73,84,99,2.87,ID,1726630053
242,pontianak,-0.0333,109.3333,25.99,100,75,2.57,ID,1726630054
243,wingham,43.8879,-81.3114,13.45,65,6,3.19,CA,1726630056
